workspace=twenty-front | packages/twenty-front/src/modules/object-record/graphql/record-gql-fields/utils/generateDepthRecordGqlFieldsFromFields.ts:12 -> packages/twenty-front/src/modules/object-record/graphql/record-gql-fields/utils/generateActivityTargetGqlFields.ts:4
workspace=twenty-server | packages/twenty-server/src/engine/metadata-modules/flat-page-layout-widget/services/flat-page-layout-widget-type-validator.service.ts:18 -> packages/twenty-server/src/engine/metadata-modules/flat-page-layout-widget/validators/utils/validate-iframe-flat-page-layout-widget-for-update.util.ts:3
workspace=twenty-server | packages/twenty-server/src/engine/metadata-modules/flat-page-layout-widget/services/flat-page-layout-widget-type-validator.service.ts:19 -> packages/twenty-server/src/engine/metadata-modules/flat-page-layout-widget/validators/utils/validate-simple-record-page-widget-for-creation.util.ts:4
workspace=twenty-server | packages/twenty-server/src/engine/metadata-modules/flat-page-layout-widget/services/flat-page-layout-widget-type-validator.service.ts:20 -> packages/twenty-server/src/engine/metadata-modules/flat-page-layout-widget/validators/utils/validate-simple-record-page-widget-for-update.util.ts:4
workspace=twenty-server | packages/twenty-server/src/engine/metadata-modules/flat-page-layout-widget/services/flat-page-layout-widget-type-validator.service.ts:21 -> packages/twenty-server/src/engine/metadata-modules/flat-page-layout-widget/validators/utils/validate-standalone-rich-text-flat-page-layout-widget-for-creation.util.ts:4
workspace=twenty-server | packages/twenty-server/src/engine/metadata-modules/flat-page-layout-widget/services/flat-page-layout-widget-type-validator.service.ts:22 -> packages/twenty-server/src/engine/metadata-modules/flat-page-layout-widget/validators/utils/validate-standalone-rich-text-flat-page-layout-widget-for-update.util.ts:3
workspace=twenty-server | packages/twenty-server/src/engine/metadata-modules/connected-account/entities/connected-account.entity.ts:11 -> packages/twenty-server/src/engine/metadata-modules/calendar-channel/entities/calendar-channel.entity.ts:19
workspace=twenty-server | packages/twenty-server/src/engine/metadata-modules/connected-account/entities/connected-account.entity.ts:12 -> packages/twenty-server/src/engine/metadata-modules/message-channel/entities/message-channel.entity.ts:23
workspace=twenty-server | packages/twenty-server/src/engine/metadata-modules/message-channel/entities/message-channel.entity.ts:24 -> packages/twenty-server/src/engine/metadata-modules/message-folder/entities/message-folder.entity.ts:14
workspace=twenty-server | packages/twenty-server/src/engine/metadata-modules/index-metadata/interfaces/index-metadata.interface.ts:1 -> packages/twenty-server/src/engine/metadata-modules/index-metadata/interfaces/index-field-metadata.interface.ts:1
workspace=twenty-server | packages/twenty-server/src/engine/dataloaders/dataloader.interface.ts:3 -> packages/twenty-server/src/engine/dataloaders/dataloader.service.ts:11
workspace=twenty-server | packages/twenty-server/src/modules/connected-account/refresh-tokens-manager/drivers/google/services/google-api-refresh-tokens.service.ts:11 -> packages/twenty-server/src/modules/connected-account/refresh-tokens-manager/services/connected-account-refresh-tokens.service.ts:9
workspace=twenty-server | packages/twenty-server/src/modules/connected-account/refresh-tokens-manager/services/connected-account-refresh-tokens.service.ts:10 -> packages/twenty-server/src/modules/connected-account/refresh-tokens-manager/drivers/microsoft/services/microsoft-api-refresh-tokens.service.ts:10
workspace=twenty-server | packages/twenty-server/src/modules/calendar/calendar-event-import-manager/services/calendar-get-events.service.ts:5 -> packages/twenty-server/src/modules/calendar/calendar-event-import-manager/drivers/caldav/services/caldav-get-events.service.ts:5
workspace=twenty-server | packages/twenty-server/src/modules/calendar/calendar-event-import-manager/services/calendar-get-events.service.ts:6 -> packages/twenty-server/src/modules/calendar/calendar-event-import-manager/drivers/google-calendar/services/google-calendar-get-events.service.ts:10
workspace=twenty-server | packages/twenty-server/src/modules/calendar/calendar-event-import-manager/services/calendar-get-events.service.ts:7 -> packages/twenty-server/src/modules/calendar/calendar-event-import-manager/drivers/microsoft-calendar/services/microsoft-calendar-get-events.service.ts:10
workspace=twenty-server | packages/twenty-server/src/engine/core-modules/tool-provider/services/tool-registry.service.ts:17 -> packages/twenty-server/src/engine/core-modules/tool-provider/tools/execute-tool.tool.ts:5
workspace=twenty-server | packages/twenty-server/src/engine/core-modules/tool-provider/services/tool-registry.service.ts:18 -> packages/twenty-server/src/engine/core-modules/tool-provider/tools/learn-tools.tool.ts:3
workspace=twenty-server | packages/twenty-server/src/engine/metadata-modules/ai/ai-agent-execution/ai-agent-execution.module.ts:6 -> packages/twenty-server/src/engine/core-modules/tool-provider/tool-provider.module.ts:19
workspace=twenty-server | packages/twenty-server/src/engine/api/graphql/graphql-config/graphql-config.service.ts:26 -> packages/twenty-server/src/engine/core-modules/exception-handler/hooks/use-sentry-tracing.ts:9
workspace=twenty-server | packages/twenty-server/src/engine/api/graphql/graphql-config/graphql-config.service.ts:28 -> packages/twenty-server/src/engine/core-modules/graphql/hooks/use-disable-introspection-and-suggestions-for-unauthenticated-users.hook.ts:5
workspace=twenty-server | packages/twenty-server/src/engine/api/graphql/metadata-graphql-api.module.ts:7 -> packages/twenty-server/src/engine/api/graphql/metadata.module-factory.ts:7
workspace=twenty-emails | packages/twenty-emails/src/utils/email-renderer/renderers/render-node.tsx:4 -> packages/twenty-emails/src/utils/email-renderer/nodes/bullet-list.tsx:3
workspace=twenty-emails | packages/twenty-emails/src/utils/email-renderer/renderers/render-node.tsx:6 -> packages/twenty-emails/src/utils/email-renderer/nodes/heading.tsx:4
workspace=twenty-emails | packages/twenty-emails/src/utils/email-renderer/renderers/render-node.tsx:8 -> packages/twenty-emails/src/utils/email-renderer/nodes/list-item.tsx:3
workspace=twenty-emails | packages/twenty-emails/src/utils/email-renderer/renderers/render-node.tsx:9 -> packages/twenty-emails/src/utils/email-renderer/nodes/ordered-list.tsx:3
workspace=twenty-emails | packages/twenty-emails/src/utils/email-renderer/renderers/render-node.tsx:10 -> packages/twenty-emails/src/utils/email-renderer/nodes/paragraph.tsx:4
workspace=twenty-ui | packages/twenty-ui/src/input/components/Radio.tsx:6 -> packages/twenty-ui/src/input/components/RadioGroup.tsx:3
workspace=twenty-ui | packages/twenty-ui/src/display/index.ts:508 -> packages/twenty-ui/src/display/text/components/HorizontalSeparator.tsx:3
workspace=twenty-shared | packages/twenty-shared/src/utils/index.ts:16 -> packages/twenty-shared/src/utils/array/findOrThrow.ts:1
workspace=twenty-shared | packages/twenty-shared/src/utils/filter/turnRecordFilterIntoGqlOperationFilter.ts:29 -> packages/twenty-shared/src/utils/filter/index.ts:13
workspace=twenty-shared | packages/twenty-shared/src/utils/index.ts:61 -> packages/twenty-shared/src/utils/filter/dates/utils/addUnitToZonedDateTime.ts:1
workspace=twenty-shared | packages/twenty-shared/src/utils/filter/dates/utils/getNextPeriodStart.ts:5 -> packages/twenty-shared/src/utils/filter/dates/utils/getPeriodStart.ts:6
workspace=twenty-shared | packages/twenty-shared/src/metadata/index.ts:27 -> packages/twenty-shared/src/metadata/utils/add-custom-suffix-if-reserved.util.ts:1
workspace=twenty-shared | packages/twenty-shared/src/workflow/index.ts:71 -> packages/twenty-shared/src/workflow/types/InputSchema.ts:1
workspace=twenty-shared | packages/twenty-shared/src/workflow/index.ts:86 -> packages/twenty-shared/src/workflow/utils/getFunctionInputFromInputSchema.ts:1
workspace=twenty-shared | packages/twenty-shared/src/logic-function/index.ts:10 -> packages/twenty-shared/src/logic-function/constants/DefaultToolInputSchema.ts:1
workspace=twenty-shared | packages/twenty-shared/src/logic-function/index.ts:11 -> packages/twenty-shared/src/logic-function/constants/SeedLogicFunctionInputSchema.ts:1
workspace=twenty-shared | packages/twenty-shared/src/logic-function/index.ts:12 -> packages/twenty-shared/src/logic-function/get-input-schema-from-source-code.ts:2
workspace=twenty-sdk | packages/twenty-sdk/src/cli/utilities/dev/orchestrator/dev-mode-orchestrator-state.ts:2 -> packages/twenty-sdk/src/cli/utilities/dev/orchestrator/steps/build-manifest-orchestrator-step.ts:3
workspace=twenty-sdk | packages/twenty-sdk/src/cli/utilities/dev/orchestrator/dev-mode-orchestrator-state.ts:3 -> packages/twenty-sdk/src/cli/utilities/dev/orchestrator/steps/check-server-orchestrator-step.ts:2
workspace=twenty-sdk | packages/twenty-sdk/src/cli/utilities/dev/orchestrator/dev-mode-orchestrator-state.ts:4 -> packages/twenty-sdk/src/cli/utilities/dev/orchestrator/steps/start-watchers-orchestrator-step.ts:11
workspace=twenty-sdk | packages/twenty-sdk/src/cli/utilities/dev/orchestrator/dev-mode-orchestrator-state.ts:5 -> packages/twenty-sdk/src/cli/utilities/dev/orchestrator/steps/sync-application-orchestrator-step.ts:4
workspace=twenty-sdk | packages/twenty-sdk/src/cli/utilities/dev/orchestrator/dev-mode-orchestrator-state.ts:6 -> packages/twenty-sdk/src/cli/utilities/dev/orchestrator/steps/upload-files-orchestrator-step.ts:1
workspace=twenty-sdk | packages/twenty-sdk/src/sdk/index.ts:17 -> packages/twenty-sdk/src/sdk/define-front-component.ts:1
workspace=twenty-client-sdk | packages/twenty-client-sdk/src/metadata/generated/runtime/createClient.ts:3 -> packages/twenty-client-sdk/src/metadata/generated/runtime/fetcher.ts:4
